Model,DPO4034B,,,
Firmware Version,1.26,,,
,,,,
Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,20,,,
Horizontal Delay,0,0,0,0
Sample Interval,0.02,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,50,50,10,10
Vertical Units,V,V,A,A
Vertical Offset,0,0,0,0
Vertical Scale,25,25,2,2
Vertical Position,0,0,0,0
Label,,,,
TIME,CH1,CH2,CH3,CH4
-8.88E+01,nan,nan,nan,nan
-8.87E+01,nan,nan,nan,nan
-8.87E+01,nan,nan,nan,nan
-8.87E+01,nan,nan,nan,nan
-8.87E+01,nan,nan,nan,nan
-8.87E+01,nan,nan,nan,nan
-8.86E+01,nan,nan,nan,nan
-8.86E+01,nan,nan,nan,nan
-8.86E+01,nan,nan,nan,nan
-8.86E+01,nan,nan,nan,nan
-8.86E+01,nan,nan,nan,nan
-8.85E+01,nan,nan,nan,nan
-8.85E+01,nan,nan,nan,nan
-8.85E+01,nan,nan,nan,nan
-8.85E+01,nan,nan,nan,nan
-8.85E+01,nan,nan,nan,nan
-8.84E+01,nan,nan,nan,nan
-8.84E+01,nan,nan,nan,nan
-8.84E+01,nan,nan,nan,nan
-8.84E+01,nan,nan,nan,nan
-8.84E+01,nan,nan,nan,nan
-8.83E+01,nan,nan,nan,nan
-8.83E+01,nan,nan,nan,nan
-8.83E+01,nan,nan,nan,nan
-8.83E+01,nan,nan,nan,nan
-8.83E+01,nan,nan,nan,nan
-8.82E+01,nan,nan,nan,nan
-8.82E+01,nan,nan,nan,nan
-8.82E+01,nan,nan,nan,nan
-8.82E+01,nan,nan,nan,nan
-8.82E+01,nan,nan,nan,nan
-8.81E+01,nan,nan,nan,nan
-8.81E+01,nan,nan,nan,nan
-8.81E+01,nan,nan,nan,nan
-8.81E+01,nan,nan,nan,nan
-8.81E+01,nan,nan,nan,nan
-8.80E+01,nan,nan,nan,nan
-8.80E+01,nan,nan,nan,nan
-8.80E+01,nan,nan,nan,nan
-8.80E+01,nan,nan,nan,nan
-8.80E+01,nan,nan,nan,nan
-8.79E+01,nan,nan,nan,nan
-8.79E+01,nan,nan,nan,nan
-8.79E+01,nan,nan,nan,nan
-8.79E+01,nan,nan,nan,nan
-8.79E+01,nan,nan,nan,nan
-8.78E+01,nan,nan,nan,nan
-8.78E+01,nan,nan,nan,nan
-8.78E+01,nan,nan,nan,nan
-8.78E+01,nan,nan,nan,nan
-8.78E+01,nan,nan,nan,nan
-8.77E+01,nan,nan,nan,nan
-8.77E+01,nan,nan,nan,nan
-8.77E+01,nan,nan,nan,nan
-8.77E+01,nan,nan,nan,nan
-8.77E+01,nan,nan,nan,nan
-8.76E+01,nan,nan,nan,nan
-8.76E+01,nan,nan,nan,nan
-8.76E+01,nan,nan,nan,nan
-8.76E+01,nan,nan,nan,nan
-8.76E+01,nan,nan,nan,nan
-8.75E+01,nan,nan,nan,nan
-8.75E+01,nan,nan,nan,nan
-8.75E+01,nan,nan,nan,nan
-8.75E+01,nan,nan,nan,nan
